config,optimizer,lr,wd,batch_size,train_acc,val_acc,test_acc
1,Adam,0.0005,0.0001,64,0.14508928571428573,0.036458333333333336,0.038128249566724434
2,Adam,0.0008,0.0001,64,0.15327380952380953,0.027777777777777776,0.03466204506065858
3,Adam,0.0003,0.0001,64,0.13764880952380953,0.057291666666666664,0.053726169844020795
4,RMSprop,0.0005,0.0,64,0.15513392857142858,0.022569444444444444,0.02079722703639515
